,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,(Apple) MacBook Pro,Laptop,14.2,Yes,MacOS Monterey,HDMI/USB-C (Thunderbolt 4)/Headphone Jack,Wi-Fi/Bluetooth,Wi-Fi/Bluetooth,MacOS Monterey,1.60 kg ( 3.53 lb ),9499
1,(Apple) MacBook Pro,Laptop,16.2,Yes,MacOS Monterey,HDMI/USB-C (Thunderbolt 4)/Headphone Jack,Wi-Fi/Bluetooth,Wi-Fi/Bluetooth,MacOS Monterey,2.10 kg ( 4.63 lb ),11799
2,(Apple) MacBook Pro,Laptop,16.2,Yes,MacOS Monterey,HDMI/USB-C (Thunderbolt 4)/Headphone Jack,Wi-Fi/Bluetooth,Wi-Fi/Bluetooth,MacOS Monterey,2.10 kg ( 4.63 lb ),11799
3,(Apple) MacBook Pro,Laptop,16.2,Yes,MacOS Monterey,HDMI/USB-C (Thunderbolt 4)/Headphone Jack,Wi-Fi/Bluetooth,Wi-Fi/Bluetooth,MacOS Monterey,2.10 kg ( 4.63 lb ),12749
4,(Apple) MacBook Pro,Laptop,14.2,Yes,MacOS Monterey,HDMI/USB-C (Thunderbolt 4)/Headphone Jack,Wi-Fi/Bluetooth,Wi-Fi/Bluetooth,MacOS Monterey,1.60 kg ( 3.53 lb ),11799
5,(Huawei) MateBook,Laptop,13.9,3000 X 2000,Windows 10,16 GB RAM,1 TB PCIe NVMe M.2 SSD,1 TB PCIe NVMe M.2 SSD,Windows 10,height/length,4899
6,(Lenovo) YOGA,Laptop,14,HD 720p Webcam,Windows 10,16 GB RAM,1 TB PCIe NVMe M.2 SSD,1 TB PCIe NVMe M.2 SSD,Windows 10,,6839
7,(Microsoft) Surface Laptop,Laptop,15,2496 x 1664,Windows 10,16 GB RAM,256 GB SSD,256 GB SSD,Windows 10,,5999
8,(Apple) MacBook Pro,Laptop,16,"Dolby Atmos, Three Microphones",macOS Catalina,Wi-Fi/Bluetooth,16 GB RAM,16 GB RAM,macOS Catalina,2.00 kg ( 4.41 lb ),10499
9,(Apple) MacBook Pro,Laptop,13.3,Built-in Mic/Speakers,macOS Catalina,Wi-Fi/Bluetooth,16 GB RAM,16 GB RAM,macOS Catalina,1.40 kg ( 3.09 lb ),8999
10,(Apple) MacBook Pro,Laptop,13.3,Built-in Mic/Speakers,macOS Catalina,Wi-Fi/Bluetooth,16 GB RAM,16 GB RAM,macOS Catalina,1.40 kg ( 3.09 lb ),9999
11,(Huawei) MateBook,Laptop,15.6,HD (1 MP) Webcam,Windows 10,8 GB RAM,256 GB SSD,256 GB SSD,Windows 10,depth,2599
12,(Huawei) MateBook,Laptop,15.6,HD (1 MP) Webcam,Windows 10,8 GB RAM,256 GB SSD,256 GB SSD,Windows 10,depth,2299
13,(Apple) MacBook Pro,Laptop,13.3,Built-in Mic/Speakers,macOS Catalina,Wi-Fi/Bluetooth,16 GB RAM,16 GB RAM,macOS Catalina,1.40 kg ( 3.09 lb ),8299
14,(Dell) XPS,Laptop,13.4,3840 X 2160 (UHD),Windows 10,16 GB RAM,1 TB PCIe NVMe M.2 SSD,1 TB PCIe NVMe M.2 SSD,Windows 10,width,8799
