Company,Product,TypeName,Inches,ScreenResolution,Gpu,Ram,Memory,OpSys,Weight,Price
(Huawei) MateBook,(Huawei) MateBook,Laptop,13.9,3000 X 2000,NVIDIA GeForce MX250 (2 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 10,height/length,4899
(Microsoft) Surface Laptop,(Microsoft) Surface Laptop,Laptop,13.5,2256 X 1504 (QHD),Intel Iris Plus Graphics,16 GB RAM,256 GB SSD,Windows 10,none,5299
(Lenovo) YOGA,(Lenovo) YOGA,Laptop,14,HD 720p Webcam,Intel Iris Graphics,16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 10,none,6839
(Microsoft) Surface Laptop,(Microsoft) Surface Laptop,Laptop,15,2496 x 1664,AMD Radeon Vega 9,16 GB RAM,256 GB SSD,Windows 10,none,5999
(Apple) MacBook Pro,(Apple) MacBook Pro,Laptop,13.3,Built-in Mic/Speakers,Intel Iris Plus Graphics 645,Wi-Fi/Bluetooth,16 GB RAM,macOS Catalina,1.40 kg ( 3.09 lb ),9999
(Apple) MacBook Pro,(Apple) MacBook Pro,Laptop,13.3,Built-in Mic/Speakers,Intel Iris Plus Graphics 645,Wi-Fi/Bluetooth,16 GB RAM,macOS Catalina,1.40 kg ( 3.09 lb ),8999
‎هواوي) ميت بوك)‎,‎هواوي) ميت بوك)‎,‎كمبيوتر محمول‎,‎15‎.6‎ بوصة‎,‎كاميرا ويب 1 ميجابيكسل عالية الوضوح‎,‎ انتل يو اتش دي جرافيكس‎,‎8 جيجابايت رام‎,‎256 جيجابايت اس اس دي‎,‎ويندوز 10‎,none,2299ر.س.‏
(Apple) MacBook Pro,(Apple) MacBook Pro,Laptop,13.3,Built-in Mic/Speakers,Intel Iris Plus Graphics 645,Wi-Fi/Bluetooth,16 GB RAM,macOS Catalina,1.40 kg ( 3.09 lb ),8299
(Huawei) MateBook,(Huawei) MateBook,Laptop,14,2160 x 1440,Intel Iris Xe Graphics,16 GB RAM,512 GB SSD,Windows 10,height/length,4999
(Huawei) MateBook,(Huawei) MateBook,Laptop,13,HD 720p Webcam,Intel Iris Xe Graphics,8 GB RAM,512 GB SSD,Windows 10,depth,3999
(Huawei) MateBook,(Huawei) MateBook,Laptop,15.6,HD (1 MP) Webcam,Intel Iris Xe Graphics,8 GB RAM,512 GB NVMe M.2 SSD,Windows 10,weight,3399
(Dell) XPS,(Dell) XPS,Laptop,13.4,3840 X 2160 (UHD),Intel Iris Xe Graphics,16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 10,width,8799
(Dell) Inspiron,(Dell) Inspiron,Laptop,13.3,0.9 MP Webcam,Intel Iris Xe Graphics,8 GB RAM,256 GB PCIe NVMe M.2 SSD,Windows 10,depth,3599
(Dell) XPS,(Dell) XPS,Laptop,13.3,Waves MaxxAudio Pro,Intel Iris Xe Graphics,Wi-Fi/Bluetooth,16 GB RAM,Windows 10,depth,6199
(Huawei) MateBook,(Huawei) MateBook,Laptop,13,2160 x 1440,Intel Iris Xe Graphics,16 GB RAM,512 GB SSD,Windows 10,height/length,4999
(Huawei) MateBook,(Huawei) MateBook,Laptop,14,HD 720p Webcam,Intel Iris Xe Graphics,8 GB RAM,512 GB SSD,Windows 10,depth,3999
(HP) Notebook,(HP) Notebook,Laptop,15.6,37.60 cm ( 14.80 in ),Intel UHD Graphics,4 GB RAM,1 TB HDD,Windows 10,1.85 kg ( 4.08 lb ),2249
(Apple) MacBook Air,(Apple) MacBook Air,Laptop,13.3,Lithium Ion Polymer (Li-Poly),7-core GPU,USB-C (Thunderbolt 3),Wi-Fi/Bluetooth,macOS Big Sur,2.4300,4899
(Apple) MacBook Air,(Apple) MacBook Air,Laptop,13.3,Lithium Ion Polymer (Li-Poly),7-core GPU,USB-C (Thunderbolt 3),Wi-Fi/Bluetooth,macOS Big Sur,2.4300,4899
(Apple) MacBook Pro,(Apple) MacBook Pro,Laptop,13.3,Lithium Ion Polymer (Li-Poly),8-core GPU,USB-C (Thunderbolt 3),Wi-Fi/Bluetooth,macOS Big Sur,3.1600,7299
(Huawei) MateBook,(Huawei) MateBook,Laptop,13.9,3000 X 2000,NVIDIA GeForce MX250 (2 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 10,height/length,4899
