Company,Cpu,Ram,Weight,Price
Apple,Intel Core i5 2.3GHz,8,1.37,3568.934
Apple,Intel Core i5 1.8GHz,8,1.34,2394.776
HP,Intel Core i5 7200U 2.5GHz,8,1.86,1531.8
Apple,Intel Core i7 2.7GHz,16,1.83,6759.767
Apple,Intel Core i5 3.1GHz,8,1.37,4804.79
Acer,AMD A9-Series 9420 3GHz,4,2.1,1065.6
Apple,Intel Core i7 2.2GHz,16,2.04,5700.88
Apple,Intel Core i5 1.8GHz,8,1.34,3086.777
Asus,Intel Core i7 8550U 1.8GHz,16,1.3,3982.68
Acer,Intel Core i5 8250U 1.6GHz,8,1.6,2051.28
HP,Intel Core i5 7200U 2.5GHz,4,1.86,1049.35
HP,Intel Core i3 6006U 2GHz,4,1.86,919.0534
Apple,Intel Core i7 2.8GHz,16,1.83,6500.08
Dell,Intel Core i3 6006U 2GHz,4,2.2,1329.07
Apple,Intel Core M m3 1.2GHz,8,0.92,3363.034
Apple,Intel Core i5 2.3GHz,8,1.37,4045.417
Dell,Intel Core i7 7500U 2.7GHz,8,2.2,1984.68
Apple,Intel Core i7 2.9GHz,16,1.83,7613.712
Lenovo,Intel Core i3 7100U 2.4GHz,8,2.2,1329.336
Dell,Intel Core i5 8250U 1.6GHz,8,1.22,2608.056
Asus,Intel Atom x5-Z8350 1.44GHz,2,0.98,511.2216
Lenovo,Intel Core i5 7300HQ 2.5GHz,8,2.5,2661.336
HP,AMD E-Series E2-9000e 1.5GHz,4,1.86,687.312
Dell,Intel Core i5 8250U 1.6GHz,8,1.62,2181.816
HP,Intel Core i7 8550U 1.8GHz,8,1.91,1755.576
Dell,Intel Core i3 6006U 2GHz,4,2.3,1115.257
Apple,Intel Core i5 1.6GHz,8,1.35,2927.736
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,2131.2
Dell,Intel Core i7 8650U 1.9GHz,8,1.88,3457.872
HP,Intel Core i5 8250U 1.6GHz,8,2.5,2386.944
Chuwi,Intel Atom x5-Z8300 1.44GHz,4,1.89,652.6534
